id,title,measure,target,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,custom_attributes,last_referenced
KPI-001,Topic-to-decision cycle time,dashboard aggregate,trend down; visible per stream,Implemented,,,,,"{""v1"": {""ID"": ""KPI-001"", ""Metric"": ""Topic-to-decision cycle time"", ""Baseline"": ""text-file era: unmeasured"", ""Target"": ""trend down; visible per stream"", ""Measurement"": ""dashboard aggregate"", ""Status"": ""Instrumented (P12)""}}",
KPI-002,Action SLA adherence (% actions closed by due date),actions dashboard,≥ committee-agreed threshold,Implemented,,,,,"{""v1"": {""ID"": ""KPI-002"", ""Metric"": ""Action SLA adherence (% actions closed by due date)"", ""Baseline"": ""unmeasured"", ""Target"": ""≥ committee-agreed threshold"", ""Measurement"": ""actions dashboard"", ""Status"": ""Instrumented""}}",
KPI-003,Backlog age (topics aging past urgency SLA),aging indicator,surfaced + declining,Implemented,,,,,"{""v1"": {""ID"": ""KPI-003"", ""Metric"": ""Backlog age (topics aging past urgency SLA)"", ""Baseline"": ""unmeasured"", ""Target"": ""surfaced + declining"", ""Measurement"": ""aging indicator"", ""Status"": ""Instrumented""}}",
KPI-004,Vote-to-ratification integrity (hash-chain verifiable),Auditor chain check,100% verifiable,Implemented,,,,,"{""v1"": {""ID"": ""KPI-004"", ""Metric"": ""Vote-to-ratification integrity (hash-chain verifiable)"", ""Baseline"": ""n/a"", ""Target"": ""100% verifiable"", ""Measurement"": ""Auditor chain check"", ""Status"": ""Met (ADR-0009)""}}",
KPI-005,Bilingual coverage (strings with EN+AR + RTL clean),i18n parity + RTL VR,100% before ship,Implemented,,,,,"{""v1"": {""ID"": ""KPI-005"", ""Metric"": ""Bilingual coverage (strings with EN+AR + RTL clean)"", ""Baseline"": ""0%"", ""Target"": ""100% before ship"", ""Measurement"": ""i18n parity + RTL VR"", ""Status"": ""Met""}}",
KPI-006,Topic Intake Rate,Weekly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-006"", ""Name"": ""Topic Intake Rate"", ""Owner"": ""Secretary"", ""Cadence"": ""Weekly"", ""Dashboard"": ""DB-13""}}",
KPI-007,Carry-Over Rate,Per-meeting,,Approved,,,,,"{""v1"": {""ID"": ""KPI-007"", ""Name"": ""Carry-Over Rate"", ""Owner"": ""Secretary"", ""Cadence"": ""Per-meeting"", ""Dashboard"": ""DB-13""}}",
KPI-008,End-to-End Decision Lead Time,Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-008"", ""Name"": ""End-to-End Decision Lead Time"", ""Owner"": ""Chairman"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-14""}}",
KPI-009,Decision Cycle Time (In-Committee),Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-009"", ""Name"": ""Decision Cycle Time (In-Committee)"", ""Owner"": ""Chairman"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-14""}}",
KPI-010,Action Completion Rate,Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-010"", ""Name"": ""Action Completion Rate"", ""Owner"": ""Secretary"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-19""}}",
