id,kind,title,statement,priority,mvp,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,introduced_in,retired_in,custom_attributes,last_referenced
FR-001,functional,The system shall authenticate users via OIDC against Keycloak. No credentials are stored in ACMP.,The system shall authenticate users via OIDC against Keycloak. No credentials are stored in ACMP.,M,1,Approved,,,brief,brief §6.1; ADR-0004,1,,"{""v1"": {""ID"": ""FR-001"", ""Requirement"": ""The system shall authenticate users via OIDC against Keycloak. No credentials are stored in ACMP."", ""Priority"": ""M"", ""Source"": ""brief §6.1; ADR-0004"", ""Phase"": ""1""}}",
FR-002,functional,"The system shall support an adapter for the org's existing internal auth service during Keycloak migration, with configuration to switch between providers without code change.","The system shall support an adapter for the org's existing internal auth service during Keycloak migration, with configuration to switch between providers without code change.",M,1,Implemented,,,brief,digest §1; ADR-0004,1,,"{""v1"": {""ID"": ""FR-002"", ""Requirement"": ""The system shall support an adapter for the org's existing internal auth service during Keycloak migration, with configuration to switch between providers without code change."", ""Priority"": ""M"", ""Source"": ""digest §1; ADR-0004"", ""Phase"": ""1""}}",
FR-003,functional,"As any user, I want to switch the interface language between English and Arabic at any time without losing unsaved form data, so that I can work in my preferred language.","As any user, I want to switch the interface language between English and Arabic at any time without losing unsaved form data, so that I can work in my preferred language.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-005"", ""User Story"": ""As any user, I want to switch the interface language between English and Arabic at any time without losing unsaved form data, so that I can work in my preferred language."", ""FR-IDs"": ""FR-003"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-004,functional,"As any user browsing in Arabic, I want the entire UI to render in full RTL layout (all text, icons, navigation, form controls, and data tables), so that the platform is comfortable and correct for Ara","As any user browsing in Arabic, I want the entire UI to render in full RTL layout (all text, icons, navigation, form controls, and data tables), so that the platform is comfortable and correct for Arabic readers.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-006"", ""User Story"": ""As any user browsing in Arabic, I want the entire UI to render in full RTL layout (all text, icons, navigation, form controls, and data tables), so that the platform is comfortable and correct for Arabic readers."", ""FR-IDs"": ""FR-004"", ""Priority"": ""M"", ""Size"": ""L""}}",
FR-005,functional,"As any user, I want to toggle between light and dark themes, and have my preference remembered across sessions, so that I can work in comfortable lighting conditions.","As any user, I want to toggle between light and dark themes, and have my preference remembered across sessions, so that I can work in comfortable lighting conditions.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-007"", ""User Story"": ""As any user, I want to toggle between light and dark themes, and have my preference remembered across sessions, so that I can work in comfortable lighting conditions."", ""FR-IDs"": ""FR-005"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-006,functional,"The system shall store file attachments in an S3-compatible/Blob store via `IFileStore` abstraction; metadata (filename, size, MIME type, uploader, timestamp, entity link) is stored in SQL Server.","The system shall store file attachments in an S3-compatible/Blob store via `IFileStore` abstraction; metadata (filename, size, MIME type, uploader, timestamp, entity link) is stored in SQL Server.",M,1,Implemented,,,brief,README §A; ADR-0003,1,,"{""v1"": {""ID"": ""FR-006"", ""Requirement"": ""The system shall store file attachments in an S3-compatible/Blob store via `IFileStore` abstraction; metadata (filename, size, MIME type, uploader, timestamp, entity link) is stored in SQL Server."", ""Priority"": ""M"", ""Source"": ""README §A; ADR-0003"", ""Phase"": ""1""}}",
FR-007,functional,"As an Administrator, I want health check endpoints for liveness and readiness, so that the Docker Compose deployment can verify the application is running correctly.","As an Administrator, I want health check endpoints for liveness and readiness, so that the Docker Compose deployment can verify the application is running correctly.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-010"", ""User Story"": ""As an Administrator, I want health check endpoints for liveness and readiness, so that the Docker Compose deployment can verify the application is running correctly."", ""FR-IDs"": ""FR-007"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-008,functional,"The system shall expose an OpenAPI/Swagger document for all REST endpoints, accessible in development and staging environments.","The system shall expose an OpenAPI/Swagger document for all REST endpoints, accessible in development and staging environments.",M,1,Approved,,,brief,digest §4,1,,"{""v1"": {""ID"": ""FR-008"", ""Requirement"": ""The system shall expose an OpenAPI/Swagger document for all REST endpoints, accessible in development and staging environments."", ""Priority"": ""M"", ""Source"": ""digest §4"", ""Phase"": ""1""}}",
FR-009,functional,"The system shall emit structured logs (Serilog) to the app-owned self-hosted Seq container; all log entries include correlation ID, user ID (masked per privacy policy), module, and operation. No depen","The system shall emit structured logs (Serilog) to the app-owned self-hosted Seq container; all log entries include correlation ID, user ID (masked per privacy policy), module, and operation. No dependency on the org's ELK/Seq.",M,1,Approved,,,brief,README §A; digest §4,1,,"{""v1"": {""ID"": ""FR-009"", ""Requirement"": ""The system shall emit structured logs (Serilog) to the app-owned self-hosted Seq container; all log entries include correlation ID, user ID (masked per privacy policy), module, and operation. No dependency on the org's ELK/Seq."", ""Priority"": ""M"", ""Source"": ""README §A; digest §4"", ""Phase"": ""1""}}",
FR-010,functional,The system shall emit distributed traces (OpenTelemetry) for all inbound HTTP requests and background jobs.,The system shall emit distributed traces (OpenTelemetry) for all inbound HTTP requests and background jobs.,M,1,Approved,,,brief,README §A,1,,"{""v1"": {""ID"": ""FR-010"", ""Requirement"": ""The system shall emit distributed traces (OpenTelemetry) for all inbound HTTP requests and background jobs."", ""Priority"": ""M"", ""Source"": ""README §A"", ""Phase"": ""1""}}",
