id,title,statement,requirement_id,slice_id,lifecycle_status,disposition,disposition_reason_ref,superseded_by,introduced_in,retired_in,source_kind,source_span,custom_attributes,last_referenced
AC-001,"**Given** a user with a valid Keycloak account <br> **When** they open ACMP and click ""Sign In"" <br> **Then** they are r","**Given** a user with a valid Keycloak account <br> **When** they open ACMP and click ""Sign In"" <br> **Then** they are redirected to the Keycloak authorization endpoint, authenticate there, and return to ACMP with an authenticated session; no ACMP-managed password is used or stored.",FR-001,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-001"", ""Given / When / Then"": ""**Given** a user with a valid Keycloak account <br> **When** they open ACMP and click \""Sign In\"" <br> **Then** they are redirected to the Keycloak authorization endpoint, authenticate there, and return to ACMP with an authenticated session; no ACMP-managed password is used or stored."", ""Verifies"": ""FR-001, US-001"", ""Phase"": ""PH-1""}}",
AC-002,**Given** a user whose Keycloak token holds a group/realm-role claim mapping to the ACMP `Secretary` role <br> **When** ,**Given** a user whose Keycloak token holds a group/realm-role claim mapping to the ACMP `Secretary` role <br> **When** they complete SSO login <br> **Then** the session assigns the `Secretary` role and all Secretary actions are available; no manual role assignment in ACMP is required.,FR-002,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-002"", ""Given / When / Then"": ""**Given** a user whose Keycloak token holds a group/realm-role claim mapping to the ACMP `Secretary` role <br> **When** they complete SSO login <br> **Then** the session assigns the `Secretary` role and all Secretary actions are available; no manual role assignment in ACMP is required."", ""Verifies"": ""FR-002, FR-018, US-002"", ""Phase"": ""PH-1""}}",
AC-003,**Given** a user whose Keycloak token has no ACMP role claim <br> **When** they complete SSO login <br> **Then** the sys,"**Given** a user whose Keycloak token has no ACMP role claim <br> **When** they complete SSO login <br> **Then** the system denies access or assigns the minimum default role (`Submitter`) per configuration, and an `AuthEvent` is emitted to the audit log.",FR-018,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-003"", ""Given / When / Then"": ""**Given** a user whose Keycloak token has no ACMP role claim <br> **When** they complete SSO login <br> **Then** the system denies access or assigns the minimum default role (`Submitter`) per configuration, and an `AuthEvent` is emitted to the audit log."", ""Verifies"": ""FR-018, US-002"", ""Phase"": ""PH-1""}}",2026-08-15T18:11:17Z
AC-004,**Given** an authenticated user idle beyond the configured session timeout <br> **When** they attempt any protected acti,**Given** an authenticated user idle beyond the configured session timeout <br> **When** they attempt any protected action <br> **Then** they are redirected to Keycloak for re-authentication and their session is terminated; no data is lost from any auto-saved in-progress form.,FR-001,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-004"", ""Given / When / Then"": ""**Given** an authenticated user idle beyond the configured session timeout <br> **When** they attempt any protected action <br> **Then** they are redirected to Keycloak for re-authentication and their session is terminated; no data is lost from any auto-saved in-progress form."", ""Verifies"": ""FR-001, FR-013, US-003"", ""Phase"": ""PH-1""}}",2026-08-13T01:08:27Z
AC-005,"**Given** a user with `Submitter` role <br> **When** they view the application <br> **Then** navigation for triage, agen","**Given** a user with `Submitter` role <br> **When** they view the application <br> **Then** navigation for triage, agenda publishing, meeting scheduling, vote management, decision recording, and chairman approval is not rendered; any direct API call to those endpoints returns HTTP 403.",FR-024,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-005"", ""Given / When / Then"": ""**Given** a user with `Submitter` role <br> **When** they view the application <br> **Then** navigation for triage, agenda publishing, meeting scheduling, vote management, decision recording, and chairman approval is not rendered; any direct API call to those endpoints returns HTTP 403."", ""Verifies"": ""FR-024, US-004"", ""Phase"": ""PH-1""}}",2026-08-13T00:11:10Z
AC-006,"**Given** a user with `Auditor` role <br> **When** they attempt to submit a form that creates or mutates a topic, decisi","**Given** a user with `Auditor` role <br> **When** they attempt to submit a form that creates or mutates a topic, decision, vote, or action <br> **Then** the submit button is not rendered, and any direct POST/PUT/DELETE returns HTTP 403 with an audit event emitted.",FR-024,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-006"", ""Given / When / Then"": ""**Given** a user with `Auditor` role <br> **When** they attempt to submit a form that creates or mutates a topic, decision, vote, or action <br> **Then** the submit button is not rendered, and any direct POST/PUT/DELETE returns HTTP 403 with an audit event emitted."", ""Verifies"": ""FR-024, US-004"", ""Phase"": ""PH-1""}}",2026-08-15T18:11:17Z
AC-007,"**Given** an `Administrator` user <br> **When** they attempt to vote on a topic, approve a decision, or close a vote via","**Given** an `Administrator` user <br> **When** they attempt to vote on a topic, approve a decision, or close a vote via the API <br> **Then** the system returns HTTP 403; platform-admin authority never extends to committee-content actions (SoD-5).",FR-018,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-007"", ""Given / When / Then"": ""**Given** an `Administrator` user <br> **When** they attempt to vote on a topic, approve a decision, or close a vote via the API <br> **Then** the system returns HTTP 403; platform-admin authority never extends to committee-content actions (SoD-5)."", ""Verifies"": ""FR-018"", ""Phase"": ""PH-1""}}",2026-08-13T00:11:10Z
AC-008,**Given** any request to a protected endpoint <br> **When** no valid session token is present <br> **Then** the response,**Given** any request to a protected endpoint <br> **When** no valid session token is present <br> **Then** the response is HTTP 401 and no protected data is returned.,FR-024,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-008"", ""Given / When / Then"": ""**Given** any request to a protected endpoint <br> **When** no valid session token is present <br> **Then** the response is HTTP 401 and no protected data is returned."", ""Verifies"": ""FR-024"", ""Phase"": ""PH-1""}}",
AC-009,**Given** a `Member` assigned as `Owner` on topic TOP-2026-005 <br> **When** they submit an edit to that topic's descrip,"**Given** a `Member` assigned as `Owner` on topic TOP-2026-005 <br> **When** they submit an edit to that topic's description <br> **Then** the edit is accepted; when the same Member edits TOP-2026-006 (where they are not Owner), the API returns HTTP 403.",FR-022,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-009"", ""Given / When / Then"": ""**Given** a `Member` assigned as `Owner` on topic TOP-2026-005 <br> **When** they submit an edit to that topic's description <br> **Then** the edit is accepted; when the same Member edits TOP-2026-006 (where they are not Owner), the API returns HTTP 403."", ""Verifies"": ""FR-022, US-015"", ""Phase"": ""PH-1""}}",2026-08-13T10:27:45Z
AC-010,"**Given** a `Member` whose stream assignment is ""Stream-A"" <br> **When** they attempt to create an action on a topic who","**Given** a `Member` whose stream assignment is ""Stream-A"" <br> **When** they attempt to create an action on a topic whose `AffectedStreams` is exclusively ""Stream-B"" <br> **Then** the API returns HTTP 403 for stream-scope violation and the attempt is emitted to the audit log.",FR-019,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-010"", ""Given / When / Then"": ""**Given** a `Member` whose stream assignment is \""Stream-A\"" <br> **When** they attempt to create an action on a topic whose `AffectedStreams` is exclusively \""Stream-B\"" <br> **Then** the API returns HTTP 403 for stream-scope violation and the attempt is emitted to the audit log."", ""Verifies"": ""FR-019"", ""Phase"": ""PH-1""}}",2026-08-14T14:44:10Z
AC-011,**Given** a `Guest/Presenter` assigned as Presenter on topic TOP-2026-007 for meeting MTG-2026-003 <br> **When** they at,**Given** a `Guest/Presenter` assigned as Presenter on topic TOP-2026-007 for meeting MTG-2026-003 <br> **When** they attempt to access topic TOP-2026-008 or any action outside that meeting scope <br> **Then** the system returns HTTP 403; the presenter relationship is scoped only to the assigned topic and meeting window.,FR-022,SL-004,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-011"", ""Given / When / Then"": ""**Given** a `Guest/Presenter` assigned as Presenter on topic TOP-2026-007 for meeting MTG-2026-003 <br> **When** they attempt to access topic TOP-2026-008 or any action outside that meeting scope <br> **Then** the system returns HTTP 403; the presenter relationship is scoped only to the assigned topic and meeting window."", ""Verifies"": ""FR-022"", ""Phase"": ""PH-1""}}",2026-08-15T16:32:38Z
AC-012,**Given** Alice owns action ACT-2026-010 and has marked it Completed <br> **When** Alice attempts to mark ACT-2026-010 a,"**Given** Alice owns action ACT-2026-010 and has marked it Completed <br> **When** Alice attempts to mark ACT-2026-010 as Verified <br> **Then** the system returns an error (""Verifier cannot be the action owner""), the action stays Completed, and the denied attempt is audited (SoD-1).",FR-085,SL-008,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-012"", ""Given / When / Then"": ""**Given** Alice owns action ACT-2026-010 and has marked it Completed <br> **When** Alice attempts to mark ACT-2026-010 as Verified <br> **Then** the system returns an error (\""Verifier cannot be the action owner\""), the action stays Completed, and the denied attempt is audited (SoD-1)."", ""Verifies"": ""FR-085, US-062"", ""Phase"": ""PH-1""}}",
AC-013,"**Given** Bob (Secretary), not the owner of action ACT-2026-010 <br> **When** Bob marks ACT-2026-010 as Verified <br> **","**Given** Bob (Secretary), not the owner of action ACT-2026-010 <br> **When** Bob marks ACT-2026-010 as Verified <br> **Then** the action transitions to Verified, the verification actor and timestamp are recorded, and an `ActionVerified` audit event is emitted (SoD-1 positive).",FR-085,SL-008,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-013"", ""Given / When / Then"": ""**Given** Bob (Secretary), not the owner of action ACT-2026-010 <br> **When** Bob marks ACT-2026-010 as Verified <br> **Then** the action transitions to Verified, the verification actor and timestamp are recorded, and an `ActionVerified` audit event is emitted (SoD-1 positive)."", ""Verifies"": ""FR-085, US-062"", ""Phase"": ""PH-1""}}",
AC-014,**Given** Secretary Carol is both sole author and approver of MoM MIN-2026-002 <br> **When** Carol approves it <br> **Th,**Given** Secretary Carol is both sole author and approver of MoM MIN-2026-002 <br> **When** Carol approves it <br> **Then** the system allows approval but emits a flagged audit event (`MinutesApprovedBySoleAuthor`) and shows a warning indicator; the MoM transitions to Approved (soft SoD-2).,FR-054,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-014"", ""Given / When / Then"": ""**Given** Secretary Carol is both sole author and approver of MoM MIN-2026-002 <br> **When** Carol approves it <br> **Then** the system allows approval but emits a flagged audit event (`MinutesApprovedBySoleAuthor`) and shows a warning indicator; the MoM transitions to Approved (soft SoD-2)."", ""Verifies"": ""FR-054, US-042"", ""Phase"": ""PH-1""}}",
AC-015,**Given** Chairman Dave attempts to close vote VOTE-2026-004 and record his own override on the same decision without a ,**Given** Chairman Dave attempts to close vote VOTE-2026-004 and record his own override on the same decision without a Secretary or second Member co-attesting the tally <br> **When** the close action is submitted <br> **Then** the system blocks the close and returns an error requiring co-attestation; the vote stays Open (SoD-3).,FR-074,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-015"", ""Given / When / Then"": ""**Given** Chairman Dave attempts to close vote VOTE-2026-004 and record his own override on the same decision without a Secretary or second Member co-attesting the tally <br> **When** the close action is submitted <br> **Then** the system blocks the close and returns an error requiring co-attestation; the vote stays Open (SoD-3)."", ""Verifies"": ""FR-074, FR-075, US-048"", ""Phase"": ""PH-1""}}",
