id,decision_ref,description,iteration,lifecycle_status,custom_attributes,last_referenced
SC-001,DEC-029,"Add phase PH-4 ""Cross-cutting hardening & release"" and bind slices SL-016 through SL-019 to it. This introduces structure absent from every v1 artifact, so it is recorded as a typed scope change before the mutation it authorizes. Authorized by DEC-029. No requirement, acceptance criterion or work item changes scope as a result; the four slices already existed in the roadmap ladder and had already shipped. The change is representational only. Re-applied on the 2.4.0 re-population of 2026-07-23.",1,Merged,,
SC-002,DEC-030,"Extend the v1 deployment target from on-prem-only to AWS cloud-hosted UAT + production. The charter and ADR-0013/CON-001/CON-003/INV-003 fixed a self-contained on-prem target; this change adds a cloud target hosted on AWS EC2 + Docker Compose, with Keycloak folded onto SQL Server, MinIO replaced by S3, and the container set consolidated. Introduces phase PH-5 and slices SL-020..SL-027, four Proposed ADRs (0034-0037), two defects (DEF-014/015), eleven acceptance criteria (AC-075..AC-085), risk rows, and open questions. Authorized by DEC-030. No PH-1..PH-4 requirement, AC, or work item changes scope; the on-prem P1-P19 ladder is unaffected and its artefacts are untouched. Recorded before the mutations it authorizes.",1,Merged,,
SC-003,DEC-038,"REFINES ADR-0038's persistence decision, discovered by reading the domain BEFORE writing code. ADR-0038 says the invite writes 'Keycloak plus a lightweight invite record ONLY — it does NOT create the CommitteeMember row', to avoid a distributed write whose failure leaves an orphan that DEF-029 makes permanent, and to keep ProvisionCurrentUser (ADR-0004) the single creation path. THE DOMAIN ALREADY MODELS THIS FEATURE and models it better. MembershipStatus.Invited exists (value 1) and its own comment reads 'Invited is reserved for admin PRE-REGISTRATION AHEAD OF FIRST LOGIN — P4 produces Active/Disabled; the directory renders all three'. CommitteeMember.SyncFromClaims already implements the other half: 'A login on a pre-registered Invited record flips it to Active', with an explicit `activating` flag so that transition is audited EVEN WHEN name, email and role are unchanged. So the invite path the ADR proposed to build from scratch is already half-built, and a second parallel concept would duplicate a modelled one. THE ADR'S OBJECTION DOES NOT APPLY HERE: its worry was reconciling a row whose Keycloak `sub` is unknown at creation — exactly why DEC-033 rejected pre-seeding 26 members — but an app-driven invite CREATES the Keycloak user and receives its id in the response, so the sub is known and there is nothing to reconcile. The residual failure mode also inverts and becomes benign: if the Keycloak create succeeds and the local insert fails, what is left over is a Keycloak user with NO member row, which the existing JIT path provisions on first login. Nothing permanent is damaged, because the permanent-orphan risk lives in the member row and no member row was written. CHANGE: the invite creates a CommitteeMember at Status=Invited carrying the KeycloakUserId returned by Keycloak; first login flips it to Active through the existing SyncFromClaims path, unchanged. The roster (FR-158 / DEF-038) is then ONE query over members rather than a union with a second table, and no new entity, table or migration is introduced. ADR-0038's other decisions — one client behind an IIdentityProvider port, minimum realm-management scope, file-backed secret, temp password shown once, ACMP-side guest expiry, forced sign-out, and the four guards — are unaffected.",1,Merged,,2026-08-11T13:46:20Z
SC-004,DEC-038,"ADR-0038 SUPERSEDES ONE CLAUSE OF ADR-0015, AND NEITHER ROW SAID SO UNTIL NOW. Found on 2026-08-11 while wiring the invite panel: an existing frontend test was named 'UserDetail (read-only, no invite per ADR-0015)' and asserted `queryByText(/invit/i)` was absent. That test was not stale — IT WAS FAITHFULLY ENCODING A REAL DECISION. ADR-0015 §Q3 states: 'User provisioning is manual via the self-hosted Keycloak admin console (Q3 decision). ACMP does NOT integrate the Keycloak Admin API in v1, so the Membership module / P4 is unaffected — it still just consumes identity and JIT-provisions a local profile on first login.' ADR-0038 reverses exactly that: it integrates the Keycloak Admin API and gives the Membership module an outbound write. ADR-0038 was written without citing ADR-0015 at all, so an Approved ADR was contradicted silently — the precise drift AGENTS.md's 'ADRs are FINAL; supersede via a new ADR row' exists to prevent, and it was caught by a TEST rather than by any gate, because the citation lived in a describe-block name and no mechanical check reads those. SCOPE OF THE SUPERSESSION, deliberately narrow: ONLY the Q3 'manual provisioning / no Admin API in v1' clause is overtaken. Everything else in ADR-0015 stands unchanged and is in fact reinforced by ADR-0038 — Keycloak stays self-hosted with an ACMP-owned realm, there is still NO self-registration, identity is still federated with roles arriving as claims, and the stack still has zero external runtime services (the Admin API call is to ACMP's OWN bundled Keycloak, not to anything outside the deployment). ADR-0015 is therefore NOT marked superseded as a whole, because it is not: doing so would discard a self-hosting decision that remains load-bearing. WHY THE REVERSAL IS COHERENT WITH ADR-0015's OWN REASONING: ADR-0015 lists 'ACMP now OWNS IdP operations' as its accepted trade-off. Manual console provisioning was the v1 expression of that ownership; DEC-038 is the operator deciding to exercise the same ownership through the product instead of through the console, which is a change of mechanism rather than of principle. The test now asserts the invite section IS present and names this supersession in place, so the next reader meets the reasoning rather than an assertion that silently flipped.",1,Merged,,
SC-005,DEC-038,"ADR-0039'S ENFORCEMENT POINT MOVED FROM JwtBearerEvents.OnTokenValidated TO A SCHEME-AGNOSTIC MIDDLEWARE, AND THE REASON IS EVIDENCE RATHER THAN TASTE. ADR-0039 was approved on 2026-08-12 specifying the check run 'in JwtBearerEvents.OnTokenValidated — the seam that already runs per request and already resolves DI'. It was implemented there first and it WORKED; the build was green. The problem surfaced while writing the test that proves it. THE API INTEGRATION HOST DOES NOT AUTHENTICATE WITH JWT AT ALL. tests/Acmp.Api.Tests/TestAuthHandler.cs is a separate AuthenticationHandler registered under its own 'Test' scheme, building the principal from X-Test-Roles / X-Test-Sub headers with no token, no signature and no issuer. A JwtBearer event therefore CANNOT RUN IN ANY API TEST, which means the approved seam could only ever have been proven by unit-testing IPrincipalRevalidator in isolation — i.e. by asserting that a collaborator returns the right verdict, never that a REQUEST is refused. That is exactly the 'a handler was called' evidence AV-134 refused for this very AC, and AC-090's bar is explicit: 'proven by asserting the user's SUBSEQUENT REQUEST no longer exercises the removed role, not merely that a logout call was issued'. CHANGE: the check is a PrincipalRevalidationMiddleware registered between UseAuthentication and UseAuthorization. Everything else in ADR-0039 is untouched — the same IPrincipalRevalidator contract, the same Membership-owned implementation, the same local-read-not-introspection decision, the same fail-closed verdicts, the same placement before any policy or handler sees the principal. WHY THE NEW SEAM IS STRICTLY BETTER, not merely more testable: it is scheme-agnostic, so it covers every authenticated request however the principal was established, where the JwtBearer hook covered only one scheme and would have silently exempted any future one. The approved seam is SUBSUMED rather than abandoned. WHAT IT COST TO FIND: nothing, because it was found by writing the test rather than after shipping — but it is worth recording that an approved ADR named an implementation detail that could not be evidenced, and the ADR review did not catch it. The lesson generalises: when an ADR names a specific seam, check that the test harness can reach it BEFORE approving. ALSO CHANGED, minimally: TestAuthHandler gained an optional X-Test-Iat header so a test can say 'this token was issued before the change'. Without it the staleness comparison has no input and the refusal cannot be forced through the pipeline at all.",1,Merged,"{""raised_in"": ""2026-08-12, implementing ADR-0039"", ""amends"": ""ADR-0039 (Approved same day) - enforcement point only; contract, implementation and every decision unchanged"", ""trigger"": ""TestAuthHandler uses a non-JWT scheme, so JwtBearerEvents cannot run in any API integration test"", ""why_it_matters"": ""AC-090's bar is a refused REQUEST; the approved seam was only unit-provable, which is the evidence AV-134 explicitly refused"", ""generalises_to"": ""when an ADR names a specific seam, check the test harness can reach it before approving""}",2026-08-12T10:02:38Z
SC-006,DEC-040,"THE /session TOPIC CARD OMITS THE DESIGN'S ALT-LANGUAGE TITLE, BECAUSE NO SUCH DATA HAS EVER EXISTED. Recorded before the build it authorizes, not after review. DEC-037 fixes the /session content by reference to 'ACMP Navigation & IA.dc.html' lines 304-347, and line 320 renders a second title in the OTHER language beneath the primary one, with dir flipped. INV-014 requires matching that reference exactly, so dropping a line is a deliberate divergence rather than a detail. WHAT THE DOMAIN ACTUALLY HAS: Topic carries a single `Title` string and a single `Description`. There is no LocalizedString type anywhere in the codebase and no *_Ar column on Topic - nor is there a capture point for one, at intake, triage, preparation or edit. The reference therefore asks for a field the system has never held, which makes this a DATA gap the design could not see rather than a rendering choice. WHY THE CODE IS RIGHT AND THE REFERENCE IS AHEAD OF IT: satisfying line 320 honestly means a migration, a second title field on the submit and the edit forms, bilingual validation, and a backfill decision for every topic already in the system - a bilingual-content feature in its own right, larger than the whole /session shell and orthogonal to AC-092, which is about expiry being real and server-enforced. Rendering an empty element, or duplicating the same title twice under a flipped direction, would be worse than omitting it: both would state to a reader that a translation exists. SCOPE, deliberately narrow: ONLY the alt-title line is dropped. Everything else on the topic card is built as drawn and maps cleanly - the TOP key to Topic.Key, the heading to Topic.Title, the summary block to Topic.Description - and every other element of the GUEST/PRESENTER SHELL (banner, slot card, materials list) is built in full. If bilingual topic titles are later wanted, they get their own FR and /session gains the line for free.",1,Merged,"{""raised_in"": ""2026-08-12, before building /session"", ""authorized_by"": ""DEC-040 (resolving OQ-073)"", ""narrows"": ""DEC-037's content requirement, by exactly one line"", ""why_it_matters"": ""an INV-014 divergence that is recorded is a decision; the same divergence unrecorded is drift""}",2026-08-12T13:58:38Z
SC-007,DEC-040,"AC-059's ""ANY AUTHENTICATED USER OF ANY ROLE"" IS NARROWED TO EXCLUDE GUEST, AND A TEST CAUGHT IT RATHER THAN A GATE. Found while implementing ADR-0040 decision 3: MembershipApiTests.Directory_is_readable_by_every_role ran the guest-surface middleware into an existing [InlineData(""Guest"")] case citing AC-059, and failed. The test was NOT stale — it faithfully encoded an approved AC whose text reads ""a list of all active committee members is shown with name, role, stream membership, and email ... no authentication error is raised for ANY VIEWER ROLE"". WHY THE CODE IS RIGHT AND THE DOCUMENT IS BEHIND IT: FR-021/AC-059 were written when every principal in the system was a committee member, so ""any role"" meant any INSIDER role — Guest existed as a name in the role vocabulary but no Guest account had ever been created, and none could be until FR-159's writer shipped. FR-159 is later and explicit: an invited guest presenter must reach ""their own session material AND NOTHING ELSE"". The member directory is 26 real people's names, committee roles, stream assignments and EMAIL ADDRESSES; handing that to an external vendor presenter for the length of their access window is a personal-data exposure, not a convenience. The design agrees: its role-access matrix gives Guest only session (full), agenda (view), home and diagrams (view), with no directory row at all, and it renders a dedicated denial screen for a Guest reaching committee content. SCOPE, deliberately narrow: ONLY the Guest role is removed from AC-059's ""any role"". Every committee role — Member, Reviewer, Auditor, Submitter, Chairman, Secretary, Administrator — still reads the directory exactly as before, the endpoint keeps no policy of its own, and the AC's substance (a non-admin viewer gets the roster without an authorization error) is untouched. The theory was renamed to Directory_is_readable_by_every_committee_role so the next reader meets the distinction instead of wondering where the Guest case went, and the refusal itself is proven positively in GuestSurfaceApiTests rather than merely absent here. ALSO ADJUSTED, and NOT a semantic change: PrincipalRevalidationApiTests.A_guest_INSIDE_their_access_window_is_served used /api/members purely as a convenient authenticated endpoint; it now uses /api/meetings, which is inside the guest surface, so the test still asserts exactly what it asserted — that revalidation ADMITS a guest inside their window — rather than passing or failing for a reason it was never about.",1,Merged,"{""raised_in"": ""2026-08-12, implementing ADR-0040 decision 3"", ""authorized_by"": ""DEC-040 (ADR-0040 approved in full)"", ""caught_by"": ""an existing test's [InlineData(\""Guest\"")] case citing AC-059 - no gate reads that"", ""narrows"": ""AC-059 / FR-021, by exactly one role"", ""related"": ""DEF-052, FR-159, AC-092, SC-004""}",2026-08-12T13:15:36Z
SC-008,DEC-041,"THE USERS SURFACE LEAVES THE ADMINISTRATION REFERENCE, AND A MEMBERS AREA APPEARS THAT THE NAV MATRIX DOES NOT DRAW. Two INV-014 divergences from one decision, recorded before the work. WHAT THE REFERENCES SAY: 'ACMP Administration.dc.html' draws a seven-tab strip whose first tab is USERS, and section (8) USER DETAIL + INVITE is where FR-156's invite and FR-157's role assignment are drawn; the nav matrix in 'ACMP Navigation & IA.dc.html' has no members area at all, so the sidebar the design draws has no place for one. WHAT SHIPS INSTEAD: a Members area holding the directory, the invite and role assignment, reachable by Administrator AND Secretary, and an Administration area that keeps system health, roles, the job monitor, streams and notification settings while losing its Users tab. WHY THE CODE IS RIGHT AND THE DESIGN IS BEHIND IT: FR-156 and FR-157 both read 'As an Administrator or Secretary', and the SERVER HAS ALWAYS HONOURED THAT - both commands admit either role, proven at the HTTP boundary. The design put the affordances on a screen the Secretary cannot open, so the reference and the requirement contradict each other and one of them has to move. Widening the Administration route instead would hand the Secretary system health, the job monitor, streams and notification settings, contradicting permission-role-matrix row 27 and SoD-5 - an authorization decision, not a layout one. Keeping BOTH surfaces was considered and refused: one capability in two places is two places for authorization to drift. SCOPE, deliberately bounded: only the Users surface moves. Every other Administration tab stays exactly where the reference draws it and stays Administrator-only; the directory, invite and role-assignment components themselves are moved, not redesigned, so the USER DETAIL + INVITE layout the reference fixes is preserved in its new home. The nav item for the new area follows the existing sidebar patterns rather than inventing a treatment. If the design is ever revised, this is the shape it should adopt - the divergence is the product being right, not the product drifting.",1,Merged,"{""raised_in"": ""2026-08-12, resolving OQ-069"", ""authorized_by"": ""DEC-041"", ""diverges_from"": ""ACMP Administration.dc.html (Users tab), ACMP Navigation & IA.dc.html (no members area in the role matrix)"", ""why"": ""the reference contradicts FR-156/FR-157, which the server has always honoured"", ""related"": ""OQ-069, FR-156, FR-157, AC-088, AC-089, INV-014""}",2026-08-12T15:54:17Z
SC-009,DEC-042,"AC-009 IS NARROWED TO ITS REFUSAL CLAUSE, BECAUSE ITS POSITIVE CLAUSE CONTRADICTS AC-034 AND THE TWO CANNOT BOTH BE TRUE. THE CONTRADICTION, precisely: a topic's Owner is assigned ON Accept (AcceptTopicCommand carries OwnerId and the handler grants the per-topic Owner capability at that moment), so an Owner exists ONLY on a topic that is already Accepted. AC-009 says 'a Member assigned as Owner ... submits an edit to that topic's description ... the edit is accepted'. AC-034 says 'only the Secretary may edit metadata after Acceptance and content fields are locked against retroactive modification'. Every situation AC-009 describes is therefore also a situation AC-034 governs, and the two give opposite answers. This is not an implementation gap - it is two APPROVED acceptance criteria disagreeing, and it went unnoticed because nothing had ever exercised the owner path over HTTP. HOW IT SURFACED: the first run of e2e/topic-scope.spec.ts (Tranche B, PR #253). I fixtured a topic Accepted with the Member as Owner, expected the Owner's edit to succeed per AC-009, and got 403. Reading UpdateTopicHandler rather than adjusting the assertion showed the code implements AC-034: pre-Accept the submitter edits freely and otherwise Policies.TopicEdit applies; POST-Accept it switches to Policies.TopicTriage - Secretary and Chairman only. WHAT THE OPERATOR DECIDED (DEC-042, 2026-08-13): AC-034 wins. Once Accepted, a topic is committee property and its content is locked; the Owner retains their other per-topic capabilities but not editing. THE NARROWING IS DELIBERATELY MINIMAL: AC-009 keeps its second clause in full - 'when the same Member edits a topic where they are not Owner, the API returns HTTP 403' - which is proven live in #253 through a real Keycloak token, with a Secretary control on the same route so the 403 is demonstrably about the principal. ONLY the first clause, 'the edit is accepted', is removed. Nothing else about AC-009 changes and no other AC is touched. ⚠ A CONSEQUENCE THAT MUST BE FIXED IN THE SAME BREATH OR IT BECOMES THE NEXT PERSON'S FALSE LEAD: AcceptTopic.cs carries the comment 'the owner's per-topic Owner capability is granted in Membership (grant-on-accept) so the ABAC owner check resolves for later edits (AC-009)'. That reason is now wrong - AC-009 no longer asks for owner edits, and the grant cannot authorize one. The grant is NOT necessarily dead (other matrix rows marked 'O' - ActionCreate, ActionVerify, RiskManage, AdrCreate and others - are topic-scoped and may consult it) but the comment must stop citing AC-009 as its purpose. ⚠ STILL OPEN, recorded so it is not mistaken for settled: whether ANY of those other 'O' rows actually consults the grant over HTTP is unverified. apiCreateAction's own comment records that SourceId has NO cross-module FK (ADR-0001), so whether the Actions module can resolve a Topic resource at all is a genuine question - and DEF-057 has just shown that a registered, unit-tested ABAC handler can be wired into nothing at all.",1,Merged,"{""raised_in"": ""2026-08-13, first run of e2e/topic-scope.spec.ts (Tranche B, PR #253) - the Owner's own edit returned 403"", ""authorized_by"": ""DEC-042"", ""narrows"": ""AC-009, by removing only its positive clause; the refusal clause stands and is proven live"", ""contradiction"": ""an Owner exists only post-Accept, and AC-034 reserves post-Accept editing to the Secretary - so AC-009's scenario is always inside AC-034's rule"", ""must_fix_with_it"": ""AcceptTopic.cs's grant-on-accept comment still cites AC-009 as the reason for the grant"", ""still_open"": ""whether any other 'O' matrix row consults the Owner grant over HTTP - unverified, and DEF-057 shows a handler can be wired into nothing"", ""related"": ""AC-009, AC-034, DEF-057, DEC-042, PR #253""}",
SC-010,DEC-045,"ADD THE AC-034 TOPIC EDIT FLOW TO THE ADR-0043 STEP-6 SLICE, AND DISPLACE STEPS 7 AND 8 BEHIND IT. Recorded BEFORE the mutation it authorizes, per the standing obligation. WHAT ADR-0043'S PLAN SAYS: the slice is eight ordered steps - seed, picker, assignment UI, invite, backfill, DEF-058/059, wire the requirement, evidence AC-010 - and step 6 is scoped to two defect fixes. Building a topic edit screen is in none of them. WHAT CHANGED AND WHY: DEF-058's recorded fix reads 'add Scope to UpdateTopicCommand and surface it in the triage UI'. The first half was done at step 6 and is proven over HTTP. The second half has nowhere to land - PUT /api/topics/{id} has NO SPA caller, so the entire UpdateTopicCommand is unreachable from the application, and TopicDetail.tsx:151 renders a DISABLED Edit button whose header comment defers 'the AC-034 edit flow' to a follow-up slice. Discharging DEF-058's fix as written therefore means building that flow. THE OPERATOR CHOSE THIS OVER MY RECOMMENDATION (DEC-045): I recommended shipping the server half and registering a DW- for the control, since ADR-0043 clause (5) is already real without any UI - Platform and OrgWide are now reachable over the API and AffectsAllStreams is live. The operator chose the full flow, accepting the stated consequence. WHAT CHANGES SCOPE: the step-6 slice gains the AC-034 edit surface (a UI that satisfies an EXISTING acceptance criterion whose UI had never been built - owed work rather than new product scope), and ADR-0043 steps 7 and 8 move behind it in this session. WHAT DOES NOT CHANGE: no requirement, acceptance criterion, invariant or constraint is altered; AC-034's text is unchanged and is the specification the flow must meet; the eight-step ORDER of ADR-0043 is unchanged, only its pace. ⚠ THE STANDING RISK THIS CREATES, and it is the reason the ADR called the order load-bearing: DEF-057 remains OPEN and stream scope still FAILS OPEN until step 7 wires the requirement into a policy. Steps 5 and 6 have made the control correct; none of them have made it run.",1,Merged,"{""recorded"": ""2026-08-14, before any edit-flow code was written"", ""authorised_by"": ""DEC-045 - the operator overruled my recommendation with the displacement consequence stated in the question"", ""displaces"": ""ADR-0043 step 7 (wire StreamScopeRequirement into the stream-bounded write policies) and step 8 (evidence AC-010 against a member in a DIFFERENT stream than the topic)"", ""does_not_change"": ""no requirement, AC, invariant or constraint text; the eight-step order of ADR-0043 is unchanged, only its pace"", ""standing_risk"": ""DEF-057 stays open - stream scope FAILS OPEN until step 7; steps 5-6 made the control correct, not live"", ""related"": ""DEC-045, DEF-058, DEF-059, AC-034, ADR-0043, DEF-057""}",2026-08-14T11:24:02Z
