id,title,statement,enforcement,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,custom_attributes,last_referenced
INV-001,Do not replace the approved technology stack (.NET 8 / ASP.NET Core / EF Core / SQL Server / React + TypeScript / Vite) without a new ADR.,Do not replace the approved technology stack (.NET 8 / ASP.NET Core / EF Core / SQL Server / React + TypeScript / Vite) without a new ADR.,ADR-0001/0002/0003/0012; code review,Approved,,,,,"{""v1"": {""ID"": ""INV-001"", ""Invariant"": ""Do not replace the approved technology stack (.NET 8 / ASP.NET Core / EF Core / SQL Server / React + TypeScript / Vite) without a new ADR."", ""Rationale"": ""The stack is settled and load-bearing; drift fragments the build and the ops story."", ""Enforced by"": ""ADR-0001/0002/0003/0012; code review""}}",
INV-002,"No distributed architecture — no microservices, message brokers (RabbitMQ/Kafka), service mesh, Kubernetes, or a second database — without a demonstrated, measured need recorded in an ADR. The default","No distributed architecture — no microservices, message brokers (RabbitMQ/Kafka), service mesh, Kubernetes, or a second database — without a demonstrated, measured need recorded in an ADR. The default is a **modular monolith**.",ADR-0001; architecture tests; code review,Approved,,,,,"{""v1"": {""ID"": ""INV-002"", ""Invariant"": ""No distributed architecture — no microservices, message brokers (RabbitMQ/Kafka), service mesh, Kubernetes, or a second database — without a demonstrated, measured need recorded in an ADR. The default is a **modular monolith**."", ""Rationale"": ""Right-sized for on-prem, low-traffic, ≤20 users; premature distribution is pure cost."", ""Enforced by"": ""ADR-0001; architecture tests; code review""}}",
INV-003,Do not depend on the organization's runtime infrastructure (CON-001). ACMP self-hosts and **bundles all runtime deps** — incl. self-hosted Keycloak (ACMP-owned realm) + SQL Server — in its own Docker ,Do not depend on the organization's runtime infrastructure (CON-001). ACMP self-hosts and **bundles all runtime deps** — incl. self-hosted Keycloak (ACMP-owned realm) + SQL Server — in its own Docker Compose stack; zero external runtime services in v1. Only external dependency = Webex (Phase 2).,ADR-0013/0014/0015; deployment config review,Approved,,,,,"{""v1"": {""ID"": ""INV-003"", ""Invariant"": ""Do not depend on the organization's runtime infrastructure (CON-001). ACMP self-hosts and **bundles all runtime deps** — incl. self-hosted Keycloak (ACMP-owned realm) + SQL Server — in its own Docker Compose stack; zero external runtime services in v1. Only external dependency = Webex (Phase 2)."", ""Rationale"": ""Self-contained deployment is a hard constraint from the operator."", ""Enforced by"": ""ADR-0013/0014/0015; deployment config review""}}",
INV-004,Do not bypass authorization. Every endpoint and command goes through policy-based authorization (role + ABAC). Enforce least privilege and segregation of duties (verifier ≠ action owner; chairman is n,Do not bypass authorization. Every endpoint and command goes through policy-based authorization (role + ABAC). Enforce least privilege and segregation of duties (verifier ≠ action owner; chairman is never sole vote counter).,ASP.NET policies; CapabilityHandler (ABAC); tests,Approved,,,,,"{""v1"": {""ID"": ""INV-004"", ""Invariant"": ""Do not bypass authorization. Every endpoint and command goes through policy-based authorization (role + ABAC). Enforce least privilege and segregation of duties (verifier ≠ action owner; chairman is never sole vote counter)."", ""Rationale"": ""Governance integrity and least privilege."", ""Enforced by"": ""ASP.NET policies; CapabilityHandler (ABAC); tests""}}",
INV-005,"Do not create unaudited changes to governance records. Every state change emits an `AuditEvent`. **Votes, issued decisions, approved ADRs, and published minutes are immutable** — superseded, never edi","Do not create unaudited changes to governance records. Every state change emits an `AuditEvent`. **Votes, issued decisions, approved ADRs, and published minutes are immutable** — superseded, never edited or deleted. Hash-chain votes/decisions/audit.",ADR-0009; append-only audit; hash chain; tests,Approved,,,,,"{""v1"": {""ID"": ""INV-005"", ""Invariant"": ""Do not create unaudited changes to governance records. Every state change emits an `AuditEvent`. **Votes, issued decisions, approved ADRs, and published minutes are immutable** — superseded, never edited or deleted. Hash-chain votes/decisions/audit."", ""Rationale"": ""Auditability and tamper-evidence of the system of record."", ""Enforced by"": ""ADR-0009; append-only audit; hash chain; tests""}}",
INV-006,Do not treat AI-extracted content as authoritative. Any AI-suggested minutes/decisions/actions (Phase 3) are **candidates** until a human reviews and approves them. Treat transcripts/briefs as untrust,Do not treat AI-extracted content as authoritative. Any AI-suggested minutes/decisions/actions (Phase 3) are **candidates** until a human reviews and approves them. Treat transcripts/briefs as untrusted input (OWASP LLM01).,ADR-0007 principle; human approval gate,Approved,,,,,"{""v1"": {""ID"": ""INV-006"", ""Invariant"": ""Do not treat AI-extracted content as authoritative. Any AI-suggested minutes/decisions/actions (Phase 3) are **candidates** until a human reviews and approves them. Treat transcripts/briefs as untrusted input (OWASP LLM01)."", ""Rationale"": ""Human-reviewed automation; prevents unverified content entering the record."", ""Enforced by"": ""ADR-0007 principle; human approval gate""}}",
INV-007,"Do not store secrets in source control. Use externalized config + Docker secrets / `.env` (git-ignored). No connection strings, tokens, or keys in code or committed files.","Do not store secrets in source control. Use externalized config + Docker secrets / `.env` (git-ignored). No connection strings, tokens, or keys in code or committed files.",secret scanning; code review; `.gitignore`,Approved,,,,,"{""v1"": {""ID"": ""INV-007"", ""Invariant"": ""Do not store secrets in source control. Use externalized config + Docker secrets / `.env` (git-ignored). No connection strings, tokens, or keys in code or committed files."", ""Rationale"": ""Secret hygiene."", ""Enforced by"": ""secret scanning; code review; `.gitignore`""}}",
INV-008,Do not implement a feature without tests and acceptance criteria. Each feature ships with unit + integration tests and satisfies its `AC-###`.,Do not implement a feature without tests and acceptance criteria. Each feature ships with unit + integration tests and satisfies its `AC-###`.,DoD; CI coverage gate; acceptance audit,Approved,,,,,"{""v1"": {""ID"": ""INV-008"", ""Invariant"": ""Do not implement a feature without tests and acceptance criteria. Each feature ships with unit + integration tests and satisfies its `AC-###`."", ""Rationale"": ""No feature is \""done\"" without demonstrable acceptance."", ""Enforced by"": ""DoD; CI coverage gate; acceptance audit""}}",
INV-009,Do not break Arabic or RTL. No hardcoded user-facing strings — everything via i18n (EN + AR). Use CSS logical properties + `dir`. Every screen renders correctly in RTL. Dates are Gregorian (localized ,Do not break Arabic or RTL. No hardcoded user-facing strings — everything via i18n (EN + AR). Use CSS logical properties + `dir`. Every screen renders correctly in RTL. Dates are Gregorian (localized formatting).,i18n parity check; RTL visual regression; review,Approved,,,,,"{""v1"": {""ID"": ""INV-009"", ""Invariant"": ""Do not break Arabic or RTL. No hardcoded user-facing strings — everything via i18n (EN + AR). Use CSS logical properties + `dir`. Every screen renders correctly in RTL. Dates are Gregorian (localized formatting)."", ""Rationale"": ""Bilingual/RTL is first-class, not a retrofit."", ""Enforced by"": ""i18n parity check; RTL visual regression; review""}}",
INV-010,Do not duplicate Tarseem or Keystone functionality. Diagrams are rendered by Tarseem (JSON spec is the source of truth); research packages come from the optional Keystone workflow. No in-app diagram e,Do not duplicate Tarseem or Keystone functionality. Diagrams are rendered by Tarseem (JSON spec is the source of truth); research packages come from the optional Keystone workflow. No in-app diagram engine or research methodology without a documented ADR.,ADR-0006/0007; code review,Approved,,,,,"{""v1"": {""ID"": ""INV-010"", ""Invariant"": ""Do not duplicate Tarseem or Keystone functionality. Diagrams are rendered by Tarseem (JSON spec is the source of truth); research packages come from the optional Keystone workflow. No in-app diagram engine or research methodology without a documented ADR."", ""Rationale"": ""Avoid reinventing solved, owned capabilities."", ""Enforced by"": ""ADR-0006/0007; code review""}}",
