id,title,context,decision,consequences,lifecycle_status,disposition,disposition_reason_ref,superseded_by,source_kind,source_span,custom_attributes,last_referenced
ADR-0001,ADR-0001: Modular Monolith as Macro-Architecture,"ACMP is a focused, auditable, bilingual governance tool for a single Architecture Committee. Scale is on-prem, ≤20 total users, low traffic, single delivery team. A macro-architecture decision is required before module boundaries, inter-module communication rules, and deployment can be specified. The wrong choice here drives every downstream structural decision.","Chosen option: ""Modular monolith"", because the scale (≤20 users, single team, on-prem VM) makes microservices operational overhead unjustifiable, and a layered monolith provides no enforced isolation and would couple unrelated domains (audit, voting, search) in ways that invite future pain. Modules map one-to-one with bounded contexts; they communicate only via in-process public contracts (interfaces / MediatR notifications) and never read each other's tables directly.

### Consequences

- Good: minimal operational overhead; single deployment unit (Docker Compose); one EF Core migration set; full-stack debugging without distributed tracing between services; well-understood pattern in .NET; can extract a module to a service later if usage changes.
- Bad / trade-off: no network-level isolation between modules (a bug in one module can crash all); if scale increases dramatically (>20×), decomposition requires non-trivial refactoring. Discipline is required to enforce module boundaries — violations are not caught by the compiler without a custom Roslyn analyzer or ArchUnit-equivalent.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0002,ADR-0002: .NET 8 + ASP.NET Core + Clean Architecture + Vertical Slice + EF Core + REST,"Given the modular-monolith decision (ADR-0001), the backend technology stack and intra-module structural pattern must be chosen. The platform handles sensitive governance data (votes, decisions, audit) and must be maintainable long-term by a single .NET team within an organization whose broader tech estate is .NET.","Chosen option: "".NET 8 + ASP.NET Core + Clean Architecture per module + vertical-slice (MediatR) + EF Core + REST"", because it aligns with org expertise, is LTS-stable, and provides layered testability (domain logic isolated from EF Core and HTTP) while keeping each use case self-contained. MediatR pipeline behaviors handle cross-cutting concerns (validation, logging, authorization, outbox) uniformly without repeating them in controllers.

### Consequences

- Good: domain and application layers are fully unit-testable without a running database; EF Core migrations are automated and reviewable; MediatR pipeline behaviors enforce consistent cross-cutting logic; REST is universally understood by API consumers; LTS lifecycle gives multi-year support stability.
- Bad / trade-off: MediatR adds an indirection layer that beginners find opaque; Clean Architecture enforces strict layer boundaries which produce more files per feature than a simple CRUD approach; EF Core's change tracker can be a footgun if developers mix tracked/untracked entities carelessly — requires code-review attention.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0003,ADR-0003: Microsoft SQL Server as the Single Datastore,"ACMP needs a datastore for transactional data (topics, votes, decisions, actions, audit), search (full-text across topics/docs/transcripts), reporting/dashboard analytics, and traceability graph traversal. The question is whether one datastore is sufficient or whether a second (search engine, analytics DB, graph DB) is needed from the start.","Chosen option: ""SQL Server only"", because at ≤20 users and low traffic, SQL Server's FTS, columnstore indexes, native JSON support, and recursive CTE graph traversal are demonstrably sufficient without a second datastore. Adding OpenSearch or any other engine introduces a consistency boundary (dual-write or CDC), an additional container, and additional backup complexity — costs that are not justified by any measured requirement. If FTS is outgrown (evidence: unacceptably slow queries or search quality complaints at scale), the platform will stand up its own self-hosted OpenSearch container (app-owned, never the org's ELK cluster). [Basis: §5.6 — airbyte/influxdata/medium comparisons; ""From ElasticSearch back to SQL Server"" (mauridb)]

### Consequences

- Good: one backup/restore target; one migration pipeline; one monitoring obligation; no dual-write complexity; simpler disaster-recovery; native JSON column support handles Tarseem spec storage and flexible metadata.
- Bad / trade-off: SQL Server FTS is weaker than Elasticsearch on fuzzy matching, typo tolerance, and autocomplete. Arabic word-breaking quality must be validated (see Validation). If search requirements grow, migration to a hybrid approach (SQL + self-hosted OpenSearch) requires adding a dual-write outbox or CDC — this is non-trivial to retrofit.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0004,ADR-0004: Keycloak (OIDC) as Identity Provider,"ACMP is a high-sensitivity governance tool. It needs SSO (committee members must not manage a separate ACMP password), role-based authorization (Chairman, Secretary, Member, Reviewer, Auditor, Administrator, Submitter, Guest/Presenter), and controlled onboarding (no self-registration). The organization is mid-migration from an internal auth service to Keycloak.","Chosen option: ""Keycloak OIDC (authorization-code + PKCE)"", because the organization mandates SSO via Keycloak, ACMP must not own an IdP, and Keycloak's group/realm-role claim mechanism cleanly maps to the ACMP canonical role set without building a custom authorization server. PKCE ensures the authorization-code flow is secure for SPA/BFF usage.

### Consequences

- Good: no password management in ACMP; SSO for committee members; Keycloak's MFA, session management, and account lifecycle are inherited; roles are centrally managed by Keycloak admins; ACMP token validation is a standard ASP.NET Core JWT middleware configuration.
- Bad / trade-off: ACMP has a runtime dependency on the Keycloak server being available (if Keycloak is down, ACMP login fails). Mitigate: token validation is local (JWT signature + expiry check); existing sessions continue until token expiry. Role changes in Keycloak take effect at next token refresh — there is a window of up to token TTL where stale roles are honoured. Keycloak group/role schema changes must be coordinated with ACMP role-mapping configuration.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0005,ADR-0005: Notification Channel Abstraction (INotificationChannel),"ACMP needs to notify committee members of meeting reminders, action due-dates, vote openings, and status changes. The notification landscape is uncertain: no SMTP relay is available in v1, the organization has a centralized notification platform (Email/SMS/Firebase) that ACMP must not depend on (CON-001), and Webex integration is desirable but complex (see §5.3 — rate limits, Webex Assistant requirement for transcripts, Adaptive Cards). A design that hard-codes any single channel creates coupling that will be expensive to change.","Chosen option: ""`INotificationChannel` abstraction with in-app notification center as the v1 channel"", because it eliminates external runtime dependencies in v1, meets the delivery deadline, and allows Webex and future channels to be added as pluggable adapters in Phase 2 without touching notification business logic. The in-app center provides a persistent, auditable notification history that Webex push alone would not.

### Consequences

- Good: v1 has zero external notification dependencies; notification logic is testable with a mock channel; in-app center doubles as a notification history/audit trail; adding Webex in Phase 2 is a new `INotificationChannel` implementation + Hangfire job, not a refactor; abstraction prevents org-platform coupling.
- Bad / trade-off: committee members who expect push notifications (email, Webex) in v1 will find the in-app center less immediate — this is a known gap and a product decision (Phase 2 addresses it). The in-app center requires the user to open ACMP to see notifications; there is no out-of-band delivery in v1.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0006,ADR-0006: Tarseem as Containerized Render Sidecar (JSON Spec = Source of Truth),"ACMP topics, ADRs, and architectural decisions require architecture diagrams (C4, flowchart, sequence, deployment, ER, etc.) as first-class artifacts, not just file attachments. The question is whether to build a diagram engine, adopt a third-party SaaS (Lucidchart, draw.io cloud), or integrate an existing engine already in the organization's orbit.","Chosen option: ""Tarseem as containerized render sidecar; JSON spec as the version-controlled source of truth"", because Tarseem is the only available engine covering the required diagram families with Arabic/RTL support, a machine-readable agent surface, and a deterministic spec-hash-traceable output. The sidecar pattern keeps Tarseem's Python + Chromium dependency isolated from the .NET application container. The JSON spec stored in SQL is the canonical artifact; generated SVG/PNG/PDF/draw.io/PPTX are derived outputs attached via the relationship model.

### Consequences

- Good: no diagram engine to build; 11 diagram families available on day one of Phase 2; Arabic/RTL diagrams work without workarounds; spec-diff enables diagram history and change review; generated artifacts carry spec hash for traceability; sidecar isolation means Tarseem failures do not crash the .NET app; `tarseem doctor` provides a health-check endpoint.
- Bad / trade-off: adds a Python + Chromium container to the Docker Compose stack (image size, startup time, Chromium memory for raster); Tarseem is v1.0.0 (released 2026-06-17 [unverified for latest patch]) — adopting at v1.0 means being an early adopter; schema version lock at v1.0 means migration tooling (`tarseem migrate`) must be used if schema evolves. ACMP must implement a thin internal HTTP wrapper (not a public API) around `tarseem.generate()`.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0007,"ADR-0007: Keystone as Optional Companion (Not Embedded, Not a Hard Dependency)","Keystone (`github.com/A-H-911/keystone`) is a Claude Code plugin that turns a project description into an execution-ready planning and handoff package (research missions, findings, recommendations, requirements, risks, decisions, traceability matrix). The ACMP domain includes a Research module for `ResearchDiscovery` topics. The question is how tightly Keystone integrates with ACMP: embedded service, hard dependency, or optional enhancement.","Chosen option: ""Keystone OPTIONAL — Research module fully standalone; import Keystone outputs; adopt ID scheme"", because Keystone is a facilitated authoring workflow, not a runtime service, and the Research module must be independently usable. When a team runs a Keystone package for a `ResearchDiscovery` topic, ACMP imports the structured manifest (requirements, decisions, risks, acceptance criteria, traceability matrix) as first-class domain artifacts (Research Mission → Finding → Recommendation entities) and stores a reference/link to the Keystone package. ACMP adopts Keystone's identifier scheme and quality-gate philosophy platform-wide.

### Consequences

- Good: Research module launches on day one without any Keystone dependency; Keystone becomes a value-add for teams doing rigorous research discovery; imported artifacts are first-class (queryable, traceable, linked to topics); identifier scheme consistency across the platform and any Keystone packages produced; no Anthropic/Claude Code runtime coupling.
- Bad / trade-off: import mapping (Keystone output schema → ACMP domain entities) must be defined and maintained; if Keystone's output schema changes between versions, the import adapter needs updating. Teams using Keystone plus ACMP need a clear documented workflow (run Keystone → export manifest → import into ACMP topic) — this is a process gap, not a technical one.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0008,ADR-0008: Typed Directed Relationship Edges as the Traceability Model,"ACMP must support end-to-end traceability across its domain entities: Topics link to Meetings, Decisions, Actions, ADRs, Risks, Dependencies, Diagrams, Documents, Research Missions, and Architecture Invariants. Impact analysis (""what is affected if this system changes?"") requires traversing these links. The design question is whether to use a shared identity scheme over a flat artifact table, a dedicated graph database, or explicit typed relationship edges in SQL.","Chosen option: ""Typed directed `Relationship` edges over a shared `Artifact` identity table, traversed via recursive CTEs in SQL Server"", because it preserves relationship semantics (governance requires knowing *how* entities are related, not just *that* they are), scales to the entity count without combinatorial table explosion, supports impact analysis via SQL traversal, and avoids a second datastore. The `Artifact` table acts as a polymorphic identity registry — each domain entity registers an artifact record on creation; the `Relationship` table links artifact IDs with a typed edge.

### Consequences

- Good: uniform traversal API across all entity types; relationship types are queryable and reportable; new entity types join the traceability graph by registering in `Artifact` (no schema change to `Relationship`); bidirectional traversal via `SourceArtifactId` / `TargetArtifactId` index; SQL Server graph tables or recursive CTEs support impact analysis without a graph DB.
- Bad / trade-off: polymorphic identity adds a level of indirection (every entity write must also write an `Artifact` row — enforced at the repository layer); cyclic relationship detection must be implemented at application level (SQL recursive CTEs can cycle); relationship type set must be curated and versioned (a proliferating type vocabulary becomes a governance problem in itself).",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0009,ADR-0009: Append-Only Audit Log with Immutability and Hash-Chain Integrity,"ACMP is the system of record for architectural governance: votes, decisions, ADRs, and published minutes have legal and regulatory weight. A governance platform that allows silent editing of these records is unfit for purpose. An audit strategy must be chosen that supports accountability, provides tamper evidence, and satisfies records-management requirements — while remaining operable without cryptographic PKI infrastructure on an on-prem VM.","Chosen option: ""Append-only audit log + immutability enforcement at the application layer + hash-chain on the highest-sensitivity record categories (votes, decisions, audit log itself)"", because it provides tamper evidence within the existing SQL Server infrastructure without external dependencies, and the immutability rule is enforced both at the application layer (no UPDATE/DELETE paths on immutable entities) and by DB constraints (no `UPDATE` privilege on the audit table for the app DB user).

### Consequences

- Good: any post-hoc modification of a vote or decision is detectable via hash-chain verification; the audit log provides a complete reconstruction timeline; immutability is enforced at multiple layers (application + DB permissions); no external dependency; hash-chain verification can be run as a scheduled integrity check.
- Bad / trade-off: immutable records require a ""supersede"" workflow rather than ""edit"" for corrections (e.g., correcting a vote that was cast in error requires a chairman-authorized override event, not an edit) — this adds UX complexity but is the correct governance behaviour. The hash-chain covers tamper detection by insiders with application access; a DBA with direct SQL access and truncate rights could still destroy the chain — mitigate by restricting DB permissions and enabling SQL Server audit at the server level.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
ADR-0010,ADR-0010: Always-Attributed Voting Model,"The committee makes decisions via voting followed by chairman final approval. The voting model must specify: who may vote (eligible voters), what constitutes a quorum, how abstentions are handled, whether votes are attributed to individuals or anonymous, and how the chairman's authority interacts with the vote outcome. Getting this wrong produces either accountability gaps (anonymous votes in a governance body) or a model too complex to implement correctly.","Chosen option: ""Always attributed voting — eligible voters, quorum, abstentions, chairman approval/override by name"", because accountability is the primary governance requirement: architectural decisions must be traceable to the individuals who made them, and the chairman's authority must be recorded explicitly (not inferred). In v1 there is no anonymity and no ranked-choice — these can be revisited with evidence of a requirement.

### Consequences

- Good: full attribution means the audit log records who voted which way; the chairman's approval or override is a named, timestamped, immutable event; quorum enforcement prevents invalid decisions; abstentions are treated as a deliberate position (not just absence); conflict-of-interest recusals are expressible.
- Bad / trade-off: some committee members may feel attribution inhibits honest voting (the ""reluctant dissenter"" problem). This is a governance culture decision, not a technical one — the brief mandates attribution, and it is the correct stance for an architecture committee. If anonymous voting is ever required (e.g., for sensitive personnel matters), it must be introduced as a separate vote type with explicit scope, not as a default.",,Approved,,,,,,"{""v1"": {""front_matter"": {}}}",
