id,event_type,entry,subject_id,actor,corrects,phase_id,slice_id,occurred_at,custom_attributes,last_referenced
PE-001,note,Carry-forward findings resolved: logout UI control + CSP templating,,,,,,2026-06-25,"{""date_provenance"":""authored""}",
PE-002,note,Review remediation: 6/6 healthy + full browser login/logout cycle,,,,,,2026-06-25,"{""date_provenance"":""authored""}",
PE-003,note,"Infra change-slice applied (post-P4, before P5). No P4/app rework.",,,,,,2026-06-25,"{""date_provenance"":""authored"",""slice_note"":""references P4 and P5 but belongs to neither; slice left unset rather than guessed""}",
PE-004,note,"P4 complete: claim-to-role mapping, policy + ABAC authorization, SoD, full Membership module, Users & Membership screen",,,,PH-1,SL-004,2026-06-25,"{""date_provenance"":""authored""}",
PE-005,note,"P3 complete: design-system shell, role-filtered nav, OIDC wiring, states, accessible drag-and-drop",,,,PH-1,SL-003,2026-06-25,"{""date_provenance"":""authored""}",
PE-006,note,P2 verified: pattern already delivered by the P1 scaffold; closed with deferral notes,,,,PH-1,SL-002,2026-06-25,"{""date_provenance"":""authored""}",
PE-007,note,P2 review: closed the one blocker (pipeline/validator test coverage),,,,PH-1,SL-002,2026-06-25,"{""date_provenance"":""authored""}",
PE-008,note,P1 scaffold complete (stop point; report before P2),,,,PH-1,SL-001,2026-06-25,"{""date_provenance"":""authored""}",
PE-009,note,PH-0 kickoff,,,,PH-0,,2026-06-25,"{""date_provenance"":""authored""}",
PE-010,note,"Fixed: the web client access token had no subject claim, silently breaking just-in-time provisioning and subject identity",,,,,,2026-06-26,"{""date_provenance"":""authored""}",
PE-011,note,P5b PR4: Backlog kanban + accessible drag-and-drop (triage transitions) - final P5b slice,,,,PH-1,SL-005,2026-06-26,"{""date_provenance"":""authored""}",
PE-012,note,P5b PR3: Topic detail (read + discussion + history) wired to the topic-by-key endpoint,,,,PH-1,SL-005,2026-06-26,"{""date_provenance"":""authored""}",
PE-013,note,P5b PR2: Submit topic form (W1) wired to the create-topic endpoint,,,,PH-1,SL-005,2026-06-26,"{""date_provenance"":""authored""}",
PE-014,note,P5b PR1: Backlog read path (table + list views) wired to the topics endpoint,,,,PH-1,SL-005,2026-06-26,"{""date_provenance"":""authored""}",
PE-015,note,"P5a backend complete: Topics module (domain to application to infrastructure to API), live-verified on real SQL Server",,,,PH-1,SL-005,2026-06-26,"{""date_provenance"":""authored""}",
PE-016,note,Re-did the UI for fidelity against the local product-context design references,,,,,,2026-06-26,"{""date_provenance"":""authored""}",
PE-017,note,UI reconciled to the product-context design across all built surfaces,,,,,,2026-06-26,"{""date_provenance"":""authored""}",
PE-018,note,"Backlog (5 views incl. live calendar/timeline), filter chips, submit rich-text bar, 5-tab topic detail",,,,PH-1,SL-005,2026-06-27,"{""date_provenance"":""authored""}",
PE-019,note,Users & Membership rebuilt to the updated design (rich directory + read-only user detail); unplanned affordances removed,,,,PH-1,SL-004,2026-06-27,"{""date_provenance"":""authored""}",
PE-020,note,"Foundation fidelity pass against the updated design references (design system, app shell, navigation and information architecture)",,,,PH-1,SL-003,2026-06-27,"{""date_provenance"":""authored""}",
PE-021,note,"P6 hardening: fixed the 3 live-pass findings + re-verified the full notification loop live (Arabic, right-to-left)",,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-022,note,"P6 live authenticated browser pass (rebuilt stack, real Keycloak PKCE, Arabic right-to-left) + 2 pre-existing findings",,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-023,note,P6 follow-up: meetings and notifications endpoint integration tests,,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-024,note,P6 follow-up: meeting-schedule flow (un-defers the new-meeting form) + server-implicit committee,,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-025,note,P6e UI: notification centre wired to the live feed + bell badge (closes the AC-051/053 loop),,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-026,note,"P6d UI: live meeting workspace - agenda spine, attendance, discussion, actual-time",,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-027,note,P6c UI: Agenda builder wired to the Meetings API + a meetings list,,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-028,note,P6b backend: in-app Notifications module + the agenda-publish / meeting-schedule fan-out (AC-051/053 floor),,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-029,note,P6a backend complete: Meetings module + cross-module scheduler seam,,,,PH-1,SL-006,2026-06-27,"{""date_provenance"":""authored""}",
PE-030,note,Fixed every finding from the pre-advance P5 audit (all severities),,,,PH-1,SL-005,2026-06-27,"{""date_provenance"":""authored""}",
PE-031,note,"Full-page notification inbox: paging backend + page, mark-all, unread/all filter",,,,PH-1,SL-006,2026-06-28,"{""date_provenance"":""authored""}",
PE-032,note,Recording placeholder styled to the design recording empty-card anatomy,,,,PH-1,SL-006,2026-06-28,"{""date_provenance"":""authored""}",
PE-033,note,Read-only agenda viewer ported to the overview preview-card anatomy + head status-chip fix,,,,PH-1,SL-006,2026-06-28,"{""date_provenance"":""authored""}",
PE-034,note,"Notes editor, action row, captured card to design anatomy + deferred concern",,,,PH-1,SL-006,2026-06-28,"{""date_provenance"":""authored""}",
PE-035,note,Prove the database-enforced invariants the in-memory provider silently accepts,,,,,,2026-06-29,"{""date_provenance"":""authored"",""programme"":""S-series test hardening (ADR-0016); harvested into P17""}",
PE-036,note,Close the frontend per-file gap to bring every file to the coverage floor,,,,,,2026-06-29,"{""date_provenance"":""authored"",""programme"":""S-series test hardening (ADR-0016); harvested into P17""}",
PE-037,note,Close the last backend gaps to make every file per-file-gate ready,,,,,,2026-06-29,"{""date_provenance"":""authored"",""programme"":""S-series test hardening (ADR-0016); harvested into P17""}",
PE-038,note,"Failure-first coverage of the OIDC wiring, route guards, API client, and query hooks",,,,,,2026-06-29,"{""date_provenance"":""authored"",""programme"":""S-series test hardening (ADR-0016); harvested into P17""}",
PE-039,note,Failure-first coverage of the uncovered application handlers and validators,,,,,,2026-06-29,"{""date_provenance"":""authored"",""programme"":""S-series test hardening (ADR-0016); harvested into P17""}",
PE-040,note,"Establish coverage measurement, exclusion basis, and slice plan",,,,,,2026-06-29,"{""date_provenance"":""authored"",""programme"":""S-series test hardening (ADR-0016); harvested into P17""}",
PE-041,note,"Schedule form: fix field rhythm and alignment, full-width mode, design date and time control",,,,PH-1,SL-006,2026-06-29,"{""date_provenance"":""authored""}",
PE-042,note,Meetings list to design: upcoming/past split + list and calendar toggle + month grid,,,,PH-1,SL-006,2026-06-29,"{""date_provenance"":""authored""}",
PE-043,note,Reconcile the bell popover + full inbox to the design reference (branch feat/p6b-notifications-ia),,,,PH-1,SL-006,2026-06-30,"{""date_provenance"":""authored""}",
PE-044,note,Refactor the meeting page into a shell + nested content surfaces (branch feat/p6a-meeting-ia),,,,PH-1,SL-006,2026-06-30,"{""date_provenance"":""authored""}",
PE-045,note,Build the six non-Users admin tabs from the Administration design reference (branch feat/p4-admin-reconcile),,,,PH-1,SL-004,2026-06-30,"{""date_provenance"":""authored""}",
